id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link
28891,Haikyuu!! Second Season,Following their participation at the Inter-High the Karasuno High School volleyball team attempts to refocus their efforts aiming to conquer the Spring tournament instead. When they receive an invitation from long-standing rival Nekoma High Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan they hope not only to sharpen their skills but also come up with new attacks that would strengthen them. Moreover Hinata and Kageyama attempt to devise a more powerful weapon one that could possibly break the sturdiest of blocks. Facing what may be their last chance at victory before the senior players graduate the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.,Comedy;Sports;Drama;School;Shounen,2015-10-04,25,489888,141,25,8.82,https://cdn.myanimelist.net/images/anime/9/76662.jpg,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
34599,Made in Abyss,The Abyss—a gaping chasm stretching down into the depths of the earth filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals known as Divers have sought to solve these mysteries of the Abyss fearlessly descending into its darkest realms. The best and bravest of the Divers the White Whistles are hailed as legends by those who remain on the surface. Riko daughter of the missing White Whistle Lyza the Annihilator aspires to become like her mother and explore the furthest reaches of the Abyss. However just a novice Red Whistle herself she is only permitted to roam its most upper layer. Even so Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However they know not of the harsh reality that is the true existence of the Abyss.,Sci-Fi;Adventure;Mystery;Drama;Fantasy,2017-07-07,13,581663,98,23,8.83,https://cdn.myanimelist.net/images/anime/6/86733.jpg,https://myanimelist.net/anime/34599/Made_in_Abyss
5114,Fullmetal Alchemist: Brotherhood,In order for something to be obtained something of equal value must be lost. Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called automail and become a state alchemist the Fullmetal Alchemist. Three years of searching later the brothers seek the Philosopher's Stone a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang Lieutenant Riza Hawkeye and Lieutenant Colonel Maes Hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone but their country's murky history as well. In between finding a serial killer and racing against time Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.,Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen,2009-04-05,64,1615084,4,1,9.23,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
37510,Mob Psycho 100 II,Shigeo Mob Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens. While the workflow remains the same Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.,Action;Slice of Life;Comedy;Supernatural,2019-01-07,13,442310,176,21,8.89,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
199,Sen to Chihiro no Kamikakushi,Stubborn spoiled and naïve 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside she realizes that there is more to this place than meets the eye as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped she must summon the courage to live and work amongst spirits with the help of the enigmatic Haku and the cast of unique characters she meets along the way. Vivid and intriguing Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.,Adventure;Supernatural;Drama,2001-07-20,1,913212,40,20,8.9,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
38000,Kimetsu no Yaiba,Ever since the death of his father the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain the Kamado family are able to enjoy a relatively peaceful and happy life. One day Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back night falls forcing Tanjirou to take shelter in the house of a strange man who warns him of the existence of flesh-eating demons that lurk in the woods at night. When he finally arrives back home the next day he is met with a horrifying sight—his whole family has been slaughtered. Worse still the sole survivor is his sister Nezuko who has been turned into a bloodthirsty demon. Consumed by rage and hatred Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.,Action;Demons;Historical;Shounen;Supernatural,2019-04-06,26,575037,106,19,8.92,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
35247,Owarimonogatari 2nd Season,Following an encounter with oddity specialist Izuko Gaen third-year high school student Koyomi Araragi wakes up in a strange deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place. Araragi with the help of his girlfriend Hitagi Senjougahara maneuvers through the webs of his past and the perplexities of the present in search of answers. However fate once again delivers him to the eccentric transfer student Ougi Oshino who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition he discovers a truth not meant to be revealed.,Mystery;Comedy;Supernatural;Vampire,2017-08-12,7,189944,573,18,8.93,https://cdn.myanimelist.net/images/anime/6/87322.jpg,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
2904,Code Geass: Hangyaku no Lelouch R2,One year has passed since the Black Rebellion a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero who is now missing. At a loss without their revolutionary leader Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia which has increased significantly in order to crush any hope of a future revolt. Lelouch Lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C. unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind Zero will rise once again to finish what he started in this thrilling conclusion to the series.,Action;Military;Sci-Fi;Super Power;Drama;Mecha,2008-04-06,25,992196,27,17,8.93,https://cdn.myanimelist.net/images/anime/4/9391.jpg,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,After the victory against Aoba Jousai High Karasuno High School once called “a fallen powerhouse a crow that can’t fly ” has finally reached the climax of the heated Spring tournament. Now to advance to nationals the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace Wakatoshi Ushijima the number one player in the Miyagi Prefecture and one of the country’s top three aces. Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement both teams are determined to come out on top in the third season of Haikyuu!! .,Comedy;Sports;Drama;School;Shounen,2016-10-08,10,395375,223,16,8.94,https://cdn.myanimelist.net/images/anime/7/81992.jpg,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
918,Gintama,The Amanto aliens from outer space have invaded Earth and taken over feudal Japan. As a result a prohibition on swords has been established and the samurai of Japan are treated with disregard as a consequence. However one man Gintoki Sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura a boy with glasses and a strong heart Kagura with her umbrella and seemingly bottomless stomach as well as Sadaharu their oversized pet dog. Of course these odd jobs are not always simple as they frequently have run-ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences. Who said life as an errand boy was easy?,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,2006-04-04,201,579150,97,13,8.97,https://cdn.myanimelist.net/images/anime/10/73274.jpg,https://myanimelist.net/anime/918/Gintama
